region,transect,plot,sample,site,soil_type,Na,Mg,Al,Si,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
vh,vhb,vhb3,vc_vh_b3,TBB3,NoA,1433.96516,10806.29575,3.241570293,174141.0929,7681.95505,9998.22415,3638.86071,1005.121844,4340.72623,172.8105562,65.1652803,910.0352107,30573.4728,24.6112088,44.51066367,192.2798204,240.2262376
vh,vhb,vhb3,vc_vh_b3_1,TBB3,NoA,613.50356,12607.9979,3.413517535,175031.2488,7632.13492,10033.03513,4008.23139,1240.656645,4121.97079,135.2297194,65.14295705,830.0964384,29903.74266,23.62833894,46.42290579,165.7047827,237.2433707
vh,vhb,vhb3,vc_vh_b3_2,TBB3,NoA,1840.04442,9900.89601,3.706262728,180302.8361,7832.31577,10604.83961,4733.78678,1213.300348,4804.71209,168.7759161,69.21217458,1179.562226,33079.19463,25.86723797,67.28966474,220.1572263,251.2461051
vh,vhb,vhb5,vc_vh_b5,TBB5,NoA,297.43014,13233.46141,3.697874468,178712.0406,7868.12257,10345.77994,2919.16419,1526.221505,4601.96472,184.1028523,64.07048212,1552.243501,35465.52443,27.64865561,77.2178458,229.6766357,249.9440318
vh,vhb,vhb5,vc_vh_b5_1,TBB5,NoA,628.5949,12772.11794,3.434923382,169886.5477,7718.73563,9939.80256,3004.31969,942.8124387,4372.37888,163.6931181,65.33642717,984.3503044,31950.50201,26.46843268,56.7886314,171.2372411,242.302037
vh,vhb,vhb5,vc_vh_b5_2,TBB5,NoA,795.25677,12682.25545,3.474305251,161434.7066,8078.82062,10047.61624,3179.72935,1113.778842,4431.8075,201.3979192,65.74684442,1199.764624,34086.26401,26.63547283,63.0713524,214.8498504,265.8696135
vh,vhb,vhb7,vc_vh_b7,TBB7,GbB,1129.75818,11640.60687,3.464086257,168237.9552,7811.15823,9709.15032,3054.43817,948.1837005,4494.05035,204.0281671,72.23006567,634.9058495,34592.09185,25.94211952,49.89635981,182.3897354,227.9974226
vh,vhb,vhb7,vc_vh_b7_1,TBB7,GbB,386.54766,13830.05326,3.518326992,161601.7242,8057.45642,9793.91434,2637.82645,1474.280262,4703.09074,254.029763,71.60836952,821.8966301,37848.49696,27.56659713,64.76485939,212.1076584,251.787052
vh,vhb,vhb7,vc_vh_b7_2,TBB7,GbB,797.56043,12652.30848,3.252314693,162078.2542,8195.11602,9575.59521,3210.24154,1087.980656,4396.91486,193.6342123,75.70502418,548.6960723,34810.63912,26.60753369,45.03155862,162.2258941,242.7111934
vh,vhb,vhb9,vc_vh_b9,TBB9,GbB,1297.03513,12341.18359,2.890750947,128776.1768,7775.80324,9302.85039,5655.51837,1098.147662,4274.96655,162.2207805,59.37368632,781.6471361,33646.11075,29.36236592,39.53365444,92.078008,237.1839574
vh,vhb,vhb9,vc_vh_b9_1,TBB9,GbB,590.22644,13128.86224,3.561084398,162532.9626,7641.05739,10862.28265,7397.73058,990.4238523,4374.62086,155.1320609,71.76958207,648.8248862,35494.42085,28.13033082,47.01824925,105.5486931,219.2831242
vh,vhb,vhb9,vc_vh_b9_2,TBB9,GbB,1716.29889,10783.01324,3.276052351,154480.0885,7621.62141,10083.43385,6724.18595,1112.47176,4793.6477,190.9343801,63.12547132,678.5194346,35228.19934,28.1931041,49.86095522,115.5315947,237.130354
vh,vhc,vhc1,vc_vh_c1,TBC1,GbB,60.75795,14974.22724,2.950562199,156954.9796,8132.59166,9006.56767,3219.27485,804.4208233,4113.30659,210.876717,56.16443606,1306.533381,27080.99711,24.06395929,38.6406789,188.9108054,248.0914739
vh,vhc,vhc1,vc_vh_c1_2,TBC1,GbB,741.06908,12584.09679,3.323229828,167720.9181,7910.92891,9273.26283,3265.79153,977.0280151,4393.87053,189.2636774,64.37729802,1286.500831,28454.4189,24.55145614,43.21653059,184.3342091,253.7436913
vh,vhc,vhc1,vc_vh_c1_3,TBC1,GbB,582.31055,13093.36726,3.151509475,165675.9993,7935.14916,9023.59925,3407.48138,1088.347698,3759.4366,152.0937905,57.86345006,1354.534346,26300.14159,24.01292964,48.08426077,186.0160408,252.5651282
vh,vhc,vhc3,vc_vh_c3,TBC3,GbB,277.63766,15092.66088,2.389659873,138663.9158,8492.17976,7899.04847,1166.78818,1120.589819,3845.82195,289.700838,72.33377793,351.4897899,33217.42503,26.16540031,33.58198533,221.979995,242.1698658
vh,vhc,vhc3,vc_vh_c3_1,TBC3,GbB,-135.85653,16266.3305,2.635537796,141003.5088,8421.64595,8154.50093,1181.84037,956.0068207,4093.73594,311.8407728,74.88729909,344.9160275,33347.90541,26.31789949,39.92899355,191.800121,244.2397413
vh,vhc,vhc3,vc_vh_c3_2,TBC3,GbB,-201.90895,16913.57608,2.612188059,134241.5269,8751.69807,8094.92256,1180.7537,1155.488975,3999.58726,351.1060312,79.82599169,314.5237588,34051.76643,26.62553546,35.96863836,258.198956,249.8486227
vh,vhc,vhc5,vc_vh_c5,TBC5,GbB,243.56034,15722.95081,2.403730344,125342.99,8330.51601,7940.70501,2557.3144,892.1865593,3677.53398,226.9208962,64.31318498,550.7669653,26503.897,22.8946851,28.52567869,189.7154038,231.9932514
vh,vhc,vhc5,vc_vh_c5_1,TBC5,GbB,859.48594,13201.85087,2.823151654,144791.5914,8307.56206,9125.53487,3155.98604,1261.458728,4137.18516,259.7568506,71.63542167,757.8263655,30169.23971,24.47078604,52.75067796,221.1452274,249.716342
